data;handlers;hash;message
2009-08-05 03:30:16+00:00;1;c6b236db73ff81007909be6406f0e484edc4a9eb;"first commit with cleaned up code

git-svn-id: http://pandas.googlecode.com/svn/trunk@5 d5231056-7de3-11de-ac95-d976489f1ece"
2009-08-05 03:30:16+00:00;3;c6b236db73ff81007909be6406f0e484edc4a9eb;"first commit with cleaned up code

git-svn-id: http://pandas.googlecode.com/svn/trunk@5 d5231056-7de3-11de-ac95-d976489f1ece"
2009-08-05 03:30:16+00:00;2;c6b236db73ff81007909be6406f0e484edc4a9eb;"first commit with cleaned up code

git-svn-id: http://pandas.googlecode.com/svn/trunk@5 d5231056-7de3-11de-ac95-d976489f1ece"
2009-08-05 03:30:16+00:00;1;c6b236db73ff81007909be6406f0e484edc4a9eb;"first commit with cleaned up code

git-svn-id: http://pandas.googlecode.com/svn/trunk@5 d5231056-7de3-11de-ac95-d976489f1ece"
2009-09-01 15:50:21+00:00;1;39c033cbe697b488f6f612c9d154a467aaca76a1;"fixed inconsistency with dateCol parameter

git-svn-id: http://pandas.googlecode.com/svn/trunk@10 d5231056-7de3-11de-ac95-d976489f1ece"
2009-09-03 01:16:28+00:00;1;7fb2ab07274eddf652479944a5586e47772ef9e0;"added pandas.stats.linmodel

git-svn-id: http://pandas.googlecode.com/svn/trunk@13 d5231056-7de3-11de-ac95-d976489f1ece"
2009-11-20 16:10:50+00:00;1;6fd65acdab8b029bac6128b7e449492851fe302e;"merging latest developments, in particular LongPanel, WidePanel

git-svn-id: http://pandas.googlecode.com/svn/trunk@35 d5231056-7de3-11de-ac95-d976489f1ece"
2009-11-20 16:10:50+00:00;1;6fd65acdab8b029bac6128b7e449492851fe302e;"merging latest developments, in particular LongPanel, WidePanel

git-svn-id: http://pandas.googlecode.com/svn/trunk@35 d5231056-7de3-11de-ac95-d976489f1ece"
2009-11-21 17:27:42+00:00;1;a8f5cc12047e3495c957b1301f6b6bce35cf2c13;"added OLS and PanelOLS functionality

git-svn-id: http://pandas.googlecode.com/svn/trunk@38 d5231056-7de3-11de-ac95-d976489f1ece"
2009-12-06 02:42:05+00:00;1;1a2555882019e6c8e0ddf7be1ed03d5028324d33;"unit test coverage for Series and Index, various reorganization in release prep

git-svn-id: http://pandas.googlecode.com/svn/trunk@75 d5231056-7de3-11de-ac95-d976489f1ece"
