data;handlers;hash;message
2007-07-19 21:07:03+00:00;1;99b21ff58ad2e2ba83172512d7f513a7c37e50c3;Created sympy-merge branch with basic structure of directories, core sources (with compatibility code removed) and refactored utils.py. Also changed sympy/__init__.py.
2007-07-19 21:07:03+00:00;4;99b21ff58ad2e2ba83172512d7f513a7c37e50c3;Created sympy-merge branch with basic structure of directories, core sources (with compatibility code removed) and refactored utils.py. Also changed sympy/__init__.py.
2007-07-19 21:07:03+00:00;1;99b21ff58ad2e2ba83172512d7f513a7c37e50c3;Created sympy-merge branch with basic structure of directories, core sources (with compatibility code removed) and refactored utils.py. Also changed sympy/__init__.py.
2007-07-19 21:07:03+00:00;1;99b21ff58ad2e2ba83172512d7f513a7c37e50c3;Created sympy-merge branch with basic structure of directories, core sources (with compatibility code removed) and refactored utils.py. Also changed sympy/__init__.py.
2007-07-22 12:30:04+00:00;1;5009295c6f76e95e13780361bc3e88d639463cdb;Merged matrices. Bug fix in resultant() (made it working for 'sparse' polynomials. Bug fix in coeff_list() (rewritten unification of monomials).
2007-07-24 17:26:05+00:00;1;4f4aca38b0416c8a7ec2491f737e7f966c158176;Added plotting module.
2007-07-24 17:26:05+00:00;1;4f4aca38b0416c8a7ec2491f737e7f966c158176;Added plotting module.
2007-07-24 17:26:05+00:00;1;4f4aca38b0416c8a7ec2491f737e7f966c158176;Added plotting module.
2007-07-24 17:26:05+00:00;1;4f4aca38b0416c8a7ec2491f737e7f966c158176;Added plotting module.
2007-07-24 17:26:05+00:00;5;4f4aca38b0416c8a7ec2491f737e7f966c158176;Added plotting module.
2007-07-24 17:26:05+00:00;1;4f4aca38b0416c8a7ec2491f737e7f966c158176;Added plotting module.
2007-07-24 20:00:05+00:00;1;6ab1bc6e76e6e25c7f4a0713136f056ff83cdfc9;Made geometry module working. Added preliminary support for trig inveses. Removed compatibility code from numbers.py. Fixed imports in specfun module.
2007-07-27 04:12:00+00:00;1;4d8538c3f08d7870aa39e595bf1573130c7bc812;implemented the tanh-sinh algorithm for numerical integration
2007-07-28 00:52:00+00:00;4;780ca591ad07d4c23613b6ef75176608f192d24f;Refactored sin, cos, tan. Added preliminary support for cot, sinh, cosh, tanh, coth. Merged old trigonometric tests with test_eval_apply.py. Added all new functions to ordering list.
2007-07-28 12:39:02+00:00;1;06c9d1b7267872b2fec84c9f1f2a149cc0a1705d;Polynomials: added forwarding of attributes to underlying sympy expr
2007-07-29 00:34:01+00:00;1;6be5d8309485f75ce42c6b66424114ec5d8ed35b;"- Reworked assumptions model slightly to be a little less strict in specifications
- Code included for issue 264 (commented out)
- Fixes for issue 266"
2007-07-29 00:34:01+00:00;1;6be5d8309485f75ce42c6b66424114ec5d8ed35b;"- Reworked assumptions model slightly to be a little less strict in specifications
- Code included for issue 264 (commented out)
- Fixes for issue 266"
2007-07-29 18:31:00+00:00;1;aab1a9978c5d3d19162bb7c7723665ff7d09d811;Rewrite/refactoring of plotting calculation and display code. Several examples and tests (commented out) still don't work because of issue 273.
2007-07-30 01:20:02+00:00;2;dfe55b87c2954b39ebb6c131f3120cdfa285bdc7;Added trigonometric and hyperbolic inverses and refactored other defined functions (simplified evaluation logic, added power series). New functions are work in progress so not all cases are properly tested, yet.
2007-07-31 00:43:05+00:00;1;5cbf1ec7cf868f2f6c0dab4100f0486b6417b229;Plotting: split tasks of calculating vertices and vertex colors for faster UI response. Added color and style arguments to functions. See examples.
2007-07-31 00:43:05+00:00;1;5cbf1ec7cf868f2f6c0dab4100f0486b6417b229;Plotting: split tasks of calculating vertices and vertex colors for faster UI response. Added color and style arguments to functions. See examples.
2007-08-01 01:49:05+00:00;1;c579d08fe9515807d7c49606d0f3facf58c125ab;"reimplemented sums_products.py, placed in /concrete/ (perhaps temporarily); all tests except one run"
2007-08-03 22:22:02+00:00;1;1d0f629e67cd15448a491cc7838c180d2233e385;Big plotting release. Better automatic interval handling. Faster color calculations. style and color properties added, with support for lambda and sympy expression-based color functions. Improved plotting examples.
2007-08-03 22:22:02+00:00;1;1d0f629e67cd15448a491cc7838c180d2233e385;Big plotting release. Better automatic interval handling. Faster color calculations. style and color properties added, with support for lambda and sympy expression-based color functions. Improved plotting examples.
2007-08-06 15:22:02+00:00;1;f09b2e61498a714b5ffdd155e60d13a634620620;Forgot to add a file.
2007-08-06 23:06:01+00:00;8;a047c536b78e6b9535e089773989aa587176a942;Added lambdify command, which takes an expression or vector of expressions along with an ordered list of Symbol arguments and returns a lambda function which uses python math for evaluation.
2007-08-07 06:49:04+00:00;2;80605526cd161bb49bde6ea51684505367c70ae1;polynomials: bug fixed in roots
2007-08-07 22:53:01+00:00;1;628a9fd3ac583c8928d1109e2d3a416028c008af;Plot view rotation presets and key commands. F1=xy, F2=xz, F3=yz, F4=perspective. Made perspective the default for surfaces.
2007-08-08 20:36:00+00:00;2;40b6ad96446850b28808b05adce77a3fb6e44b74;Custom coloring with syntax and behavior described at http://straightupcoding.blogspot.com/2007/07/some-thoughts-on-plot-coloring-with.html (except for multi-step gradients)
2007-08-09 19:43:03+00:00;1;852b48a200c5f20f0bcdfab0663690b4a5fce827;Plotting: multi-step gradients for color schemes.
2007-08-21 02:00:01+00:00;4;0872613e819bacaeb8a1eb8f791e06d0635fe17d;Moved all functions to sympy/functions (see issue 310). Cleaned a bit setup.py (no more remove __init__.py when running doctest).
2007-08-21 02:00:01+00:00;1;0872613e819bacaeb8a1eb8f791e06d0635fe17d;Moved all functions to sympy/functions (see issue 310). Cleaned a bit setup.py (no more remove __init__.py when running doctest).
2007-08-21 18:53:05+00:00;1;b6d17aee789d475657e4b692dd9539585ccfc725;Added GTK and pygame printing facilities and updated examples.
2007-08-21 18:53:05+00:00;1;b6d17aee789d475657e4b692dd9539585ccfc725;Added GTK and pygame printing facilities and updated examples.
2007-09-01 01:15:04+00:00;1;637fb096ff1613995b709df2383ea7d640793a40;Handled ImportError when attempting to import curses
2007-09-01 08:16:00+00:00;1;25412c50baa45231ff5d8cebed1c5447aecc216f;Improved risch_norman(). Now you can integrate quite big class of trigonometric and hyperbolic functions without need for advanced simplification routines. However in complicated cases still function is rewriten in terms of tan() and tanh() so results are non pretty. Added also support for factorization into linear factors so also inverses can appear in the antiderivative (in terms of complex logarithms, so another simplification routine is needed). Added several new rewrite rules to trigonometric and hyperbolic functions.
2007-09-10 23:43:04+00:00;1;38a2ce03a21fd15cf2dc78933c8fddad491a7bd9;Upgraded bundled pyglet.
2007-09-10 23:43:04+00:00;1;38a2ce03a21fd15cf2dc78933c8fddad491a7bd9;Upgraded bundled pyglet.
2007-09-10 23:43:04+00:00;1;38a2ce03a21fd15cf2dc78933c8fddad491a7bd9;Upgraded bundled pyglet.
2007-09-10 23:43:04+00:00;1;38a2ce03a21fd15cf2dc78933c8fddad491a7bd9;Upgraded bundled pyglet.
2007-09-12 07:25:05+00:00;1;2aa7846f28d76abce3a077346681dfb84bfa31fa;Fix test_pretty.py when running without -s option.
2007-09-14 19:21:05+00:00;1;16983de4f2a99a9ebdb0b670940dc95232797b88;"pprint: robustify curses initialization
curses.setupterm can throw curses.error when e.g. TERM is not set.

I spot this when doin distributed testing via 'py.test -d' and for me now all
tests pass.

see: #242"
2007-09-16 21:47:05+00:00;1;25c4772257bef93bcfe2c42b499de6e0564fcb70;Impl. experimental core.
2007-09-18 13:10:03+00:00;1;b2d581dd5ef0696c3baf12d15691be2466d1a643;cont developing sandbox/core
2007-09-18 14:50:05+00:00;1;db6590a84071cbbc1befae279acdc5d34cf259e8;Impl Mul and Pow.
2007-09-18 14:50:05+00:00;1;db6590a84071cbbc1befae279acdc5d34cf259e8;Impl Mul and Pow.
2007-09-19 14:44:04+00:00;1;77cca226c6d382db47cc68cf5dcd4728e8a6f6b7;Impl dummy support to Symbol in sandbox.core
2007-09-21 08:22:05+00:00;1;f39b624506c22a38d4c4fe93789b51bc319e0170;sandbox.core: code clean up, expose Interval.
2007-09-21 08:51:03+00:00;1;f206f515979e3630666e17a5ae5e7cef593797f2;sandbox.core: impl memoizer_Float_new
2007-09-23 16:16:05+00:00;1;ddd03494ca525a76b3a83f57df117cc094dde5ec;committing a huge patch, that moves cot from ApplyCot to the new model. All tests pass
